city,start_date,end_date,total_price,daily_price,vehicle_class,company_name
Calgary,2023-08-08,2023-08-24,2890.00,170.00,Van Conversion,Four Seasons
Calgary,2023-08-08,2023-08-24,2958.00,174.00,Motorhome C-Small MH19,Four Seasons
Calgary,2023-08-08,2023-08-24,3113.00,183.12,Motorhome Compact Plus C21,Cruise
Calgary,2023-08-08,2023-08-24,3142.00,184.82,Motorhome Compact Plus C21,Cruise
Calgary,2023-08-08,2023-08-24,3162.00,186.00,Van Conversion,Fraserway
Calgary,2023-08-08,2023-08-24,3264.00,192.00,Motorhome C-Small MH19,Fraserway
Calgary,2023-08-08,2023-08-24,3264.00,192.00,Truck Camper TC,Fraserway
Calgary,2023-08-08,2023-08-24,3264.00,192.00,Run of Fleet,Four Seasons
Calgary,2023-08-08,2023-08-24,3308.00,194.59,Motorhome C19,Cruise
Calgary,2023-08-08,2023-08-24,3337.00,196.29,Motorhome C19,Cruise
Calgary,2023-08-08,2023-08-24,3485.00,205.00,Motorhome C-Medium MH22,Four Seasons
Calgary,2023-08-08,2023-08-24,3496.00,205.65,Motorhome Standard C25,Cruise
Calgary,2023-08-08,2023-08-24,3525.00,207.35,Motorhome Standard C25,Cruise
Calgary,2023-08-08,2023-08-24,3570.00,210.00,Truck Camper Slide-out TCB,Fraserway
Calgary,2023-08-08,2023-08-24,3615.00,212.65,Motorhome Compact Plus C21,Cruise
Calgary,2023-08-08,2023-08-24,3774.00,222.00,Van Conversion,Four Seasons
Calgary,2023-08-08,2023-08-24,3808.00,224.00,Motorhome C-Large M25S,Four Seasons
Calgary,2023-08-08,2023-08-24,3815.00,224.41,Motorhome C19,Cruise
Calgary,2023-08-08,2023-08-24,3842.00,226.00,Motorhome C-Medium MH22,Fraserway
Calgary,2023-08-08,2023-08-24,3842.00,226.00,Motorhome C-Small MH19,Four Seasons
Calgary,2023-08-08,2023-08-24,3870.00,227.65,Motorhome Large C30,Cruise
Calgary,2023-08-08,2023-08-24,3899.00,229.35,Motorhome Large C30,Cruise
Calgary,2023-08-08,2023-08-24,3912.00,230.12,Saver 2,Canadream
Calgary,2023-08-08,2023-08-24,3912.00,230.12,Saver 2,Canadream
Calgary,2023-08-08,2023-08-24,3912.00,230.12,Saver 2,Canadream
Calgary,2023-08-08,2023-08-24,3988.00,234.59,Maxi Truck Camper,Canadream
Calgary,2023-08-08,2023-08-24,3988.00,234.59,Maxi Truck Camper,Canadream
Calgary,2023-08-08,2023-08-24,3988.00,234.59,Maxi Truck Camper,Canadream
Calgary,2023-08-08,2023-08-24,4007.00,235.71,Motorhome Standard C25,Cruise
Calgary,2023-08-08,2023-08-24,4022.00,236.59,Motorhome Compact Plus C21,Cruise
Calgary,2023-08-08,2023-08-24,4051.00,238.29,Motorhome Compact Plus C21,Cruise
Calgary,2023-08-08,2023-08-24,4065.00,239.12,Deluxe Van Camper,Canadream
Calgary,2023-08-08,2023-08-24,4065.00,239.12,Deluxe Van Camper,Canadream
Calgary,2023-08-08,2023-08-24,4065.00,239.12,Deluxe Van Camper,Canadream
Calgary,2023-08-08,2023-08-24,4127.00,242.76,Motorhome Compact Plus C21,Cruise
Calgary,2023-08-08,2023-08-24,4148.00,244.00,Run of Fleet,Four Seasons
Calgary,2023-08-08,2023-08-24,4182.00,246.00,Motorhome C-Large Slide-out M25S,Fraserway
Calgary,2023-08-08,2023-08-24,4217.00,248.06,Motorhome C19,Cruise
Calgary,2023-08-08,2023-08-24,4246.00,249.76,Motorhome C19,Cruise
Calgary,2023-08-08,2023-08-24,4255.00,250.29,Saver 4,Canadream
Calgary,2023-08-08,2023-08-24,4255.00,250.29,Saver 4,Canadream
Calgary,2023-08-08,2023-08-24,4255.00,250.29,Saver 4,Canadream
Calgary,2023-08-08,2023-08-24,4284.00,252.00,Van Conversion,Fraserway
Calgary,2023-08-08,2023-08-24,4290.00,252.35,Motorhome Compact Plus C21,Cruise
Calgary,2023-08-08,2023-08-24,4316.00,253.88,Super Van Camper,Canadream
Calgary,2023-08-08,2023-08-24,4316.00,253.88,Super Van Camper,Canadream
Calgary,2023-08-08,2023-08-24,4316.00,253.88,Super Van Camper,Canadream
Calgary,2023-08-08,2023-08-24,4327.00,254.53,Motorhome C19,Cruise
Calgary,2023-08-08,2023-08-24,4369.00,257.00,Motorhome C-Medium MH22,Four Seasons
Calgary,2023-08-08,2023-08-24,4386.00,258.00,Motorhome C-Small MH19,Fraserway
Calgary,2023-08-08,2023-08-24,4386.00,258.00,Truck Camper TC,Fraserway
Calgary,2023-08-08,2023-08-24,4390.00,258.24,Motorhome Large C30,Cruise
Calgary,2023-08-08,2023-08-24,4405.00,259.12,Motorhome Standard C25,Cruise
Calgary,2023-08-08,2023-08-24,4434.00,260.82,Motorhome Standard C25,Cruise
Calgary,2023-08-08,2023-08-24,4454.00,262.00,Motorhome C-XLarge M31S,Four Seasons
Calgary,2023-08-08,2023-08-24,4470.00,262.94,Motorhome Compact Plus C21,Cruise
Calgary,2023-08-08,2023-08-24,4485.00,263.82,Motorhome C19,Cruise
Calgary,2023-08-08,2023-08-24,4519.00,265.82,Motorhome Standard C25,Cruise
Calgary,2023-08-08,2023-08-24,4673.00,274.88,Motorhome Standard C25,Cruise
Calgary,2023-08-08,2023-08-24,4674.00,274.94,Motorhome C19,Cruise
Calgary,2023-08-08,2023-08-24,4692.00,276.00,Truck Camper Slide-out TCB,Fraserway
Calgary,2023-08-08,2023-08-24,4692.00,276.00,Motorhome C-Large M25S,Four Seasons
Calgary,2023-08-08,2023-08-24,4720.00,277.65,Saver 6,Canadream
Calgary,2023-08-08,2023-08-24,4720.00,277.65,Saver 6,Canadream
Calgary,2023-08-08,2023-08-24,4720.00,277.65,Saver 6,Canadream
Calgary,2023-08-08,2023-08-24,4779.00,281.12,Motorhome Large C30,Cruise
Calgary,2023-08-08,2023-08-24,4808.00,282.82,Motorhome Large C30,Cruise
Calgary,2023-08-08,2023-08-24,4860.00,285.88,Midi Motorhome,Canadream
Calgary,2023-08-08,2023-08-24,4860.00,285.88,Midi Motorhome,Canadream
Calgary,2023-08-08,2023-08-24,4860.00,285.88,Midi Motorhome,Canadream
Calgary,2023-08-08,2023-08-24,4871.00,286.53,Motorhome Standard C25,Cruise
Calgary,2023-08-08,2023-08-24,4902.00,288.35,Motorhome Large C30,Cruise
Calgary,2023-08-08,2023-08-24,4930.00,290.00,Motorhome C-XLarge Slide-out M31S,Fraserway
Calgary,2023-08-08,2023-08-24,4964.00,292.00,Motorhome C-Medium MH22,Fraserway
Calgary,2023-08-08,2023-08-24,5047.00,296.88,Motorhome Large C30,Cruise
Calgary,2023-08-08,2023-08-24,5134.00,302.00,Maxi Motorhome,Canadream
Calgary,2023-08-08,2023-08-24,5134.00,302.00,Maxi Motorhome,Canadream
Calgary,2023-08-08,2023-08-24,5134.00,302.00,Maxi Motorhome,Canadream
Calgary,2023-08-08,2023-08-24,5262.00,309.53,Motorhome Large C30,Cruise
Calgary,2023-08-08,2023-08-24,5304.00,312.00,Motorhome C-Large Slide-out M25S,Fraserway
Calgary,2023-08-08,2023-08-24,5338.00,314.00,Motorhome C-XLarge M31S,Four Seasons
Calgary,2023-08-08,2023-08-24,6052.00,356.00,Motorhome C-XLarge Slide-out M31S,Fraserway
Calgary,2023-08-08,2023-08-24,6273.00,369.00,A30ft Motorhome behindertengerecht,Fraserway
Calgary,2023-08-08,2023-08-24,7395.00,435.00,A30ft Motorhome behindertengerecht,Fraserway
