city,start_date,end_date,total_price,daily_price,vehicle_class,company_name
Chicago,2023-06-26,2023-07-13,1813.00,106.65,C SMALL 21-23,El Monte
Chicago,2023-06-26,2023-07-13,1849.00,108.76,C MEDIUM 24-26,El Monte
Chicago,2023-06-26,2023-07-13,1968.00,115.76,C LAGE 27-29,El Monte
Chicago,2023-06-26,2023-07-13,2005.00,117.94,Motorhome Standard C25,Cruise
Chicago,2023-06-26,2023-07-13,2012.00,118.35,Motorhome Large C30,Cruise
Chicago,2023-06-26,2023-07-13,2034.00,119.65,Motorhome Standard C25,Cruise
Chicago,2023-06-26,2023-07-13,2041.00,120.06,Motorhome Large C30,Cruise
Chicago,2023-06-26,2023-07-13,2159.00,127.00,C SMALL 21-23,El Monte
Chicago,2023-06-26,2023-07-13,2195.00,129.12,C MEDIUM 24-26,El Monte
Chicago,2023-06-26,2023-07-13,2314.00,136.12,C LAGE 27-29,El Monte
Chicago,2023-06-26,2023-07-13,2383.00,140.18,Motorhome Compact Plus C21,Cruise
Chicago,2023-06-26,2023-07-13,2407.00,141.59,Motorhome Standard C25,Cruise
Chicago,2023-06-26,2023-07-13,2412.00,141.88,Motorhome Compact Plus C21,Cruise
Chicago,2023-06-26,2023-07-13,2415.00,142.06,Motorhome Large C30,Cruise
Chicago,2023-06-26,2023-07-13,2562.00,150.71,Motorhome C19,Cruise
Chicago,2023-06-26,2023-07-13,2591.00,152.41,Motorhome C19,Cruise
Chicago,2023-06-26,2023-07-13,2661.00,156.53,C FAMILY 30-32,El Monte
Chicago,2023-06-26,2023-07-13,2794.00,164.35,Motorhome Compact Plus C21,Cruise
Chicago,2023-06-26,2023-07-13,2890.00,170.00,C SMALL 21-23,El Monte
Chicago,2023-06-26,2023-07-13,2926.00,172.12,C MEDIUM 24-26,El Monte
Chicago,2023-06-26,2023-07-13,2978.00,175.18,Motorhome C19,Cruise
Chicago,2023-06-26,2023-07-13,2986.00,175.65,Motorhome Standard C25,Cruise
Chicago,2023-06-26,2023-07-13,2994.00,176.12,Motorhome Large C30,Cruise
Chicago,2023-06-26,2023-07-13,3000.00,176.47,C FAMILY 30-32,El Monte
Chicago,2023-06-26,2023-07-13,3010.00,177.06,Motorhome Standard C25,Cruise
Chicago,2023-06-26,2023-07-13,3017.00,177.47,Motorhome Large C30,Cruise
Chicago,2023-06-26,2023-07-13,3039.00,178.76,Motorhome Standard C25,Cruise
Chicago,2023-06-26,2023-07-13,3045.00,179.12,C LAGE 27-29,El Monte
Chicago,2023-06-26,2023-07-13,3046.00,179.18,Motorhome Large C30,Cruise
Chicago,2023-06-26,2023-07-13,3157.00,185.71,A FAMILY 31-34,El Monte
Chicago,2023-06-26,2023-07-13,3315.00,195.00,C SMALL 21-23,El Monte
Chicago,2023-06-26,2023-07-13,3342.00,196.59,Motorhome Standard C25,Cruise
Chicago,2023-06-26,2023-07-13,3349.00,197.00,Motorhome Large C30,Cruise
Chicago,2023-06-26,2023-07-13,3351.00,197.12,C MEDIUM 24-26,El Monte
Chicago,2023-06-26,2023-07-13,3373.00,198.41,Motorhome Compact Plus C21,Cruise
Chicago,2023-06-26,2023-07-13,3388.00,199.29,Motorhome Compact Plus C21,Cruise
Chicago,2023-06-26,2023-07-13,3417.00,201.00,Motorhome Compact Plus C21,Cruise
Chicago,2023-06-26,2023-07-13,3470.00,204.12,C LAGE 27-29,El Monte
Chicago,2023-06-26,2023-07-13,3503.00,206.06,A FAMILY 31-34,El Monte
Chicago,2023-06-26,2023-07-13,3557.00,209.24,Motorhome C19,Cruise
Chicago,2023-06-26,2023-07-13,3567.00,209.82,Motorhome C19,Cruise
Chicago,2023-06-26,2023-07-13,3596.00,211.53,Motorhome C19,Cruise
Chicago,2023-06-26,2023-07-13,3612.00,212.47,Motorhome Standard C25,Cruise
Chicago,2023-06-26,2023-07-13,3620.00,212.94,Motorhome Large C30,Cruise
Chicago,2023-06-26,2023-07-13,3720.00,218.82,Motorhome Compact Plus C21,Cruise
Chicago,2023-06-26,2023-07-13,3731.00,219.47,C FAMILY 30-32,El Monte
Chicago,2023-06-26,2023-07-13,3899.00,229.35,Motorhome C19,Cruise
Chicago,2023-06-26,2023-07-13,4008.00,235.76,Motorhome Compact Plus C21,Cruise
Chicago,2023-06-26,2023-07-13,4156.00,244.47,C FAMILY 30-32,El Monte
Chicago,2023-06-26,2023-07-13,4196.00,246.82,Motorhome C19,Cruise
Chicago,2023-06-26,2023-07-13,4234.00,249.06,A FAMILY 31-34,El Monte
Chicago,2023-06-26,2023-07-13,4659.00,274.06,A FAMILY 31-34,El Monte
