city,start_date,end_date,total_price,daily_price,vehicle_class,company_name
Dallas,2023-06-12,2023-06-29,2096.00,123.29,Motorhome Standard C25,Cruise
Dallas,2023-06-12,2023-06-29,2096.00,123.29,Motorhome Large C30,Cruise
Dallas,2023-06-12,2023-06-29,2125.00,125.00,Motorhome Standard C25,Cruise
Dallas,2023-06-12,2023-06-29,2125.00,125.00,Motorhome Large C30,Cruise
Dallas,2023-06-12,2023-06-29,2195.00,129.12,C LAGE 27-29,Mighty
Dallas,2023-06-12,2023-06-29,2295.00,135.00,C MEDIUM 24-26,Mighty
Dallas,2023-06-12,2023-06-29,2347.00,138.06,C SMALL 21-23,El Monte
Dallas,2023-06-12,2023-06-29,2347.00,138.06,C MEDIUM 24-26,El Monte
Dallas,2023-06-12,2023-06-29,2395.00,140.88,C LAGE 27-29,El Monte
Dallas,2023-06-12,2023-06-29,2500.00,147.06,Motorhome Standard C25,Cruise
Dallas,2023-06-12,2023-06-29,2500.00,147.06,Motorhome Large C30,Cruise
Dallas,2023-06-12,2023-06-29,2542.00,149.53,C LAGE 27-29,Mighty
Dallas,2023-06-12,2023-06-29,2641.00,155.35,C MEDIUM 24-26,Mighty
Dallas,2023-06-12,2023-06-29,2688.00,158.12,C SMALL 21-23,El Monte
Dallas,2023-06-12,2023-06-29,2688.00,158.12,C MEDIUM 24-26,El Monte
Dallas,2023-06-12,2023-06-29,2742.00,161.29,C LAGE 27-29,El Monte
Dallas,2023-06-12,2023-06-29,2892.00,170.12,C FAMILY 30-32,El Monte
Dallas,2023-06-12,2023-06-29,3079.00,181.12,Motorhome Standard C25,Cruise
Dallas,2023-06-12,2023-06-29,3079.00,181.12,Motorhome Large C30,Cruise
Dallas,2023-06-12,2023-06-29,3101.00,182.41,Motorhome Standard C25,Cruise
Dallas,2023-06-12,2023-06-29,3101.00,182.41,Motorhome Large C30,Cruise
Dallas,2023-06-12,2023-06-29,3130.00,184.12,Motorhome Standard C25,Cruise
Dallas,2023-06-12,2023-06-29,3130.00,184.12,Motorhome Large C30,Cruise
Dallas,2023-06-12,2023-06-29,3239.00,190.53,C FAMILY 30-32,El Monte
Dallas,2023-06-12,2023-06-29,3312.00,194.82,A FAMILY 31-34,El Monte
Dallas,2023-06-12,2023-06-29,3419.00,201.12,C SMALL 21-23,El Monte
Dallas,2023-06-12,2023-06-29,3419.00,201.12,C MEDIUM 24-26,El Monte
Dallas,2023-06-12,2023-06-29,3433.00,201.94,Motorhome Standard C25,Cruise
Dallas,2023-06-12,2023-06-29,3433.00,201.94,Motorhome Large C30,Cruise
Dallas,2023-06-12,2023-06-29,3473.00,204.29,C LAGE 27-29,El Monte
Dallas,2023-06-12,2023-06-29,3659.00,215.24,A FAMILY 31-34,El Monte
Dallas,2023-06-12,2023-06-29,3698.00,217.53,C LAGE 27-29,Mighty
Dallas,2023-06-12,2023-06-29,3707.00,218.06,Motorhome Standard C25,Cruise
Dallas,2023-06-12,2023-06-29,3707.00,218.06,Motorhome Large C30,Cruise
Dallas,2023-06-12,2023-06-29,3797.00,223.35,C MEDIUM 24-26,Mighty
Dallas,2023-06-12,2023-06-29,3844.00,226.12,C SMALL 21-23,El Monte
Dallas,2023-06-12,2023-06-29,3844.00,226.12,C MEDIUM 24-26,El Monte
Dallas,2023-06-12,2023-06-29,3898.00,229.29,C LAGE 27-29,El Monte
Dallas,2023-06-12,2023-06-29,3970.00,233.53,C FAMILY 30-32,El Monte
Dallas,2023-06-12,2023-06-29,4390.00,258.24,A FAMILY 31-34,El Monte
Dallas,2023-06-12,2023-06-29,4395.00,258.53,C FAMILY 30-32,El Monte
Dallas,2023-06-12,2023-06-29,4815.00,283.24,A FAMILY 31-34,El Monte
