city,start_date,end_date,total_price,daily_price,vehicle_class,company_name
Las Vegas,2023-04-17,2023-05-04,1426.00,83.88,Motorhome Large C30,Cruise
Las Vegas,2023-04-17,2023-05-04,1455.00,85.59,Motorhome Large C30,Cruise
Las Vegas,2023-04-17,2023-05-04,1779.00,104.65,Motorhome Standard C25,Cruise
Las Vegas,2023-04-17,2023-05-04,1808.00,106.35,Motorhome Standard C25,Cruise
Las Vegas,2023-04-17,2023-05-04,1814.00,106.71,Motorhome Large C30,Cruise
Las Vegas,2023-04-17,2023-05-04,1995.00,117.35,Motorhome Compact Plus C21,Cruise
Las Vegas,2023-04-17,2023-05-04,2007.00,118.06,C LAGE 27-29,Mighty
Las Vegas,2023-04-17,2023-05-04,2023.00,119.00,Motorhome Compact Plus C21,Cruise
Las Vegas,2023-04-17,2023-05-04,2096.00,123.29,Motorhome C19,Cruise
Las Vegas,2023-04-17,2023-05-04,2125.00,125.00,Motorhome C19,Cruise
Las Vegas,2023-04-17,2023-05-04,2175.00,127.94,Motorhome Standard C25,Cruise
Las Vegas,2023-04-17,2023-05-04,2195.00,129.12,C MEDIUM 24-26,Mighty
Las Vegas,2023-04-17,2023-05-04,2195.00,129.12,C SMALL 21-23,El Monte
Las Vegas,2023-04-17,2023-05-04,2195.00,129.12,C MEDIUM 24-26,El Monte
Las Vegas,2023-04-17,2023-05-04,2195.00,129.12,C LAGE 27-29,El Monte
Las Vegas,2023-04-17,2023-05-04,2354.00,138.47,C LAGE 27-29,Mighty
Las Vegas,2023-04-17,2023-05-04,2393.00,140.76,Motorhome Large C30,Cruise
Las Vegas,2023-04-17,2023-05-04,2396.00,140.94,Motorhome Compact Plus C21,Cruise
Las Vegas,2023-04-17,2023-05-04,2431.00,143.00,Motorhome Large C30,Cruise
Las Vegas,2023-04-17,2023-05-04,2448.00,144.00,Motorhome C25,Road Bear
Las Vegas,2023-04-17,2023-05-04,2460.00,144.71,Motorhome Large C30,Cruise
Las Vegas,2023-04-17,2023-05-04,2465.00,145.00,Campervan B21,Road Bear
Las Vegas,2023-04-17,2023-05-04,2500.00,147.06,Motorhome C19,Cruise
Las Vegas,2023-04-17,2023-05-04,2542.00,149.53,C MEDIUM 24-26,Mighty
