city,start_date,end_date,total_price,daily_price,vehicle_class,company_name
Montreal,2023-08-21,2023-09-07,2840.00,167.06,Motorhome C19,Cruise
Montreal,2023-08-21,2023-09-07,2869.00,168.76,Motorhome C19,Cruise
Montreal,2023-08-21,2023-09-07,2944.00,173.18,Motorhome Standard C25,Cruise
Montreal,2023-08-21,2023-09-07,2973.00,174.88,Motorhome Standard C25,Cruise
Montreal,2023-08-21,2023-09-07,3059.00,179.94,Motorhome Large C30,Cruise
Montreal,2023-08-21,2023-09-07,3075.00,180.88,Saver 2,Canadream
Montreal,2023-08-21,2023-09-07,3075.00,180.88,Saver 2,Canadream
Montreal,2023-08-21,2023-09-07,3088.00,181.65,Motorhome Large C30,Cruise
Montreal,2023-08-21,2023-09-07,3142.00,184.82,Maxi Truck Camper,Canadream
Montreal,2023-08-21,2023-09-07,3142.00,184.82,Maxi Truck Camper,Canadream
Montreal,2023-08-21,2023-09-07,3174.00,186.71,Motorhome Compact Plus C21,Cruise
Montreal,2023-08-21,2023-09-07,3202.00,188.35,Motorhome Compact Plus C21,Cruise
Montreal,2023-08-21,2023-09-07,3366.00,198.00,Motorhome C19,Cruise
Montreal,2023-08-21,2023-09-07,3437.00,202.18,Deluxe Van Camper,Canadream
Montreal,2023-08-21,2023-09-07,3437.00,202.18,Deluxe Van Camper,Canadream
Montreal,2023-08-21,2023-09-07,3472.00,204.24,Motorhome Standard C25,Cruise
Montreal,2023-08-21,2023-09-07,3513.00,206.65,Saver 4,Canadream
Montreal,2023-08-21,2023-09-07,3513.00,206.65,Saver 4,Canadream
Montreal,2023-08-21,2023-09-07,3589.00,211.12,Motorhome Large C30,Cruise
Montreal,2023-08-21,2023-09-07,3590.00,211.18,Super Van Camper,Canadream
Montreal,2023-08-21,2023-09-07,3590.00,211.18,Super Van Camper,Canadream
Montreal,2023-08-21,2023-09-07,3666.00,215.65,Saver 6,Canadream
Montreal,2023-08-21,2023-09-07,3666.00,215.65,Saver 6,Canadream
Montreal,2023-08-21,2023-09-07,3707.00,218.06,Motorhome Compact Plus C21,Cruise
Montreal,2023-08-21,2023-09-07,3749.00,220.53,Motorhome C19,Cruise
Montreal,2023-08-21,2023-09-07,3752.00,220.71,Midi Motorhome,Canadream
Montreal,2023-08-21,2023-09-07,3752.00,220.71,Midi Motorhome,Canadream
Montreal,2023-08-21,2023-09-07,3778.00,222.24,Motorhome C19,Cruise
Montreal,2023-08-21,2023-09-07,3853.00,226.65,Motorhome Standard C25,Cruise
Montreal,2023-08-21,2023-09-07,3878.00,228.12,Motorhome C19,Cruise
Montreal,2023-08-21,2023-09-07,3882.00,228.35,Motorhome Standard C25,Cruise
Montreal,2023-08-21,2023-09-07,3936.00,231.53,Maxi Motorhome,Canadream
Montreal,2023-08-21,2023-09-07,3936.00,231.53,Maxi Motorhome,Canadream
Montreal,2023-08-21,2023-09-07,3968.00,233.41,Motorhome Large C30,Cruise
Montreal,2023-08-21,2023-09-07,3984.00,234.35,Motorhome Standard C25,Cruise
Montreal,2023-08-21,2023-09-07,3997.00,235.12,Motorhome Large C30,Cruise
Montreal,2023-08-21,2023-09-07,4017.00,236.29,Motorhome C19,Cruise
Montreal,2023-08-21,2023-09-07,4083.00,240.18,Motorhome Compact Plus C21,Cruise
Montreal,2023-08-21,2023-09-07,4101.00,241.24,Motorhome Large C30,Cruise
Montreal,2023-08-21,2023-09-07,4111.00,241.82,Motorhome Compact Plus C21,Cruise
Montreal,2023-08-21,2023-09-07,4121.00,242.41,Motorhome Standard C25,Cruise
Montreal,2023-08-21,2023-09-07,4215.00,247.94,Maxi Plus Motorhome,Canadream
Montreal,2023-08-21,2023-09-07,4215.00,247.94,Maxi Plus Motorhome,Canadream
Montreal,2023-08-21,2023-09-07,4219.00,248.18,Motorhome Compact Plus C21,Cruise
Montreal,2023-08-21,2023-09-07,4236.00,249.18,Motorhome Large C30,Cruise
Montreal,2023-08-21,2023-09-07,4260.00,250.59,Motorhome C19,Cruise
Montreal,2023-08-21,2023-09-07,4350.00,255.88,Motorhome Compact Plus C21,Cruise
Montreal,2023-08-21,2023-09-07,4369.00,257.00,Motorhome Standard C25,Cruise
Montreal,2023-08-21,2023-09-07,4489.00,264.06,Motorhome Large C30,Cruise
Montreal,2023-08-21,2023-09-07,4609.00,271.12,Motorhome Compact Plus C21,Cruise
