city,start_date,end_date,total_price,daily_price,vehicle_class,company_name
Salt Lake City,2023-04-24,2023-05-11,1455.00,85.59,Motorhome C19,Cruise
Salt Lake City,2023-04-24,2023-05-11,1484.00,87.29,Motorhome C19,Cruise
Salt Lake City,2023-04-24,2023-05-11,1844.00,108.47,Motorhome C19,Cruise
Salt Lake City,2023-04-24,2023-05-11,1860.00,109.41,Motorhome Compact Plus C21,Cruise
Salt Lake City,2023-04-24,2023-05-11,1889.00,111.12,Motorhome Compact Plus C21,Cruise
Salt Lake City,2023-04-24,2023-05-11,1903.00,111.94,Motorhome Large C30,Cruise
Salt Lake City,2023-04-24,2023-05-11,1920.00,112.94,Motorhome Standard C25,Cruise
Salt Lake City,2023-04-24,2023-05-11,1932.00,113.65,Motorhome Large C30,Cruise
Salt Lake City,2023-04-24,2023-05-11,1949.00,114.65,Motorhome Standard C25,Cruise
Salt Lake City,2023-04-24,2023-05-11,2259.00,132.88,Motorhome Compact Plus C21,Cruise
Salt Lake City,2023-04-24,2023-05-11,2303.00,135.47,Motorhome Large C30,Cruise
Salt Lake City,2023-04-24,2023-05-11,2320.00,136.47,Motorhome Standard C25,Cruise
Salt Lake City,2023-04-24,2023-05-11,2336.00,137.41,C SMALL 21-23,El Monte
Salt Lake City,2023-04-24,2023-05-11,2336.00,137.41,C MEDIUM 24-26,El Monte
Salt Lake City,2023-04-24,2023-05-11,2384.00,140.24,C LAGE 27-29,El Monte
Salt Lake City,2023-04-24,2023-05-11,2423.00,142.53,Motorhome C19,Cruise
Salt Lake City,2023-04-24,2023-05-11,2460.00,144.71,Motorhome C19,Cruise
Salt Lake City,2023-04-24,2023-05-11,2489.00,146.41,Motorhome C19,Cruise
Salt Lake City,2023-04-24,2023-05-11,2677.00,157.47,C SMALL 21-23,El Monte
Salt Lake City,2023-04-24,2023-05-11,2677.00,157.47,C MEDIUM 24-26,El Monte
Salt Lake City,2023-04-24,2023-05-11,2729.00,160.53,C LAGE 27-29,El Monte
Salt Lake City,2023-04-24,2023-05-11,2792.00,164.24,Motorhome C19,Cruise
Salt Lake City,2023-04-24,2023-05-11,2838.00,166.94,Motorhome Compact Plus C21,Cruise
Salt Lake City,2023-04-24,2023-05-11,2865.00,168.53,Motorhome Compact Plus C21,Cruise
Salt Lake City,2023-04-24,2023-05-11,2882.00,169.53,Motorhome Large C30,Cruise
Salt Lake City,2023-04-24,2023-05-11,2894.00,170.24,Motorhome Compact Plus C21,Cruise
Salt Lake City,2023-04-24,2023-05-11,2899.00,170.53,Motorhome Standard C25,Cruise
Salt Lake City,2023-04-24,2023-05-11,2908.00,171.06,Motorhome Large C30,Cruise
Salt Lake City,2023-04-24,2023-05-11,2925.00,172.06,Motorhome Standard C25,Cruise
Salt Lake City,2023-04-24,2023-05-11,2937.00,172.76,Motorhome Large C30,Cruise
Salt Lake City,2023-04-24,2023-05-11,2954.00,173.76,Motorhome Standard C25,Cruise
Salt Lake City,2023-04-24,2023-05-11,3036.00,178.59,Motorhome C19,Cruise
Salt Lake City,2023-04-24,2023-05-11,3130.00,184.12,C FAMILY 30-32,El Monte
Salt Lake City,2023-04-24,2023-05-11,3197.00,188.06,Motorhome Compact Plus C21,Cruise
Salt Lake City,2023-04-24,2023-05-11,3235.00,190.29,A FAMILY 31-34,El Monte
Salt Lake City,2023-04-24,2023-05-11,3240.00,190.59,Motorhome Large C30,Cruise
Salt Lake City,2023-04-24,2023-05-11,3257.00,191.59,Motorhome Standard C25,Cruise
Salt Lake City,2023-04-24,2023-05-11,3408.00,200.47,C SMALL 21-23,El Monte
Salt Lake City,2023-04-24,2023-05-11,3408.00,200.47,C MEDIUM 24-26,El Monte
Salt Lake City,2023-04-24,2023-05-11,3460.00,203.53,C LAGE 27-29,El Monte
Salt Lake City,2023-04-24,2023-05-11,3461.00,203.59,Motorhome Compact Plus C21,Cruise
Salt Lake City,2023-04-24,2023-05-11,3477.00,204.53,C FAMILY 30-32,El Monte
Salt Lake City,2023-04-24,2023-05-11,3505.00,206.18,Motorhome Large C30,Cruise
Salt Lake City,2023-04-24,2023-05-11,3523.00,207.24,Motorhome Standard C25,Cruise
Salt Lake City,2023-04-24,2023-05-11,3582.00,210.71,A FAMILY 31-34,El Monte
Salt Lake City,2023-04-24,2023-05-11,3833.00,225.47,C SMALL 21-23,El Monte
Salt Lake City,2023-04-24,2023-05-11,3833.00,225.47,C MEDIUM 24-26,El Monte
Salt Lake City,2023-04-24,2023-05-11,3885.00,228.53,C LAGE 27-29,El Monte
Salt Lake City,2023-04-24,2023-05-11,4208.00,247.53,C FAMILY 30-32,El Monte
Salt Lake City,2023-04-24,2023-05-11,4313.00,253.71,A FAMILY 31-34,El Monte
Salt Lake City,2023-04-24,2023-05-11,4633.00,272.53,C FAMILY 30-32,El Monte
Salt Lake City,2023-04-24,2023-05-11,4738.00,278.71,A FAMILY 31-34,El Monte
