city,start_date,end_date,total_price,daily_price,vehicle_class,company_name
Seattle,2023-08-07,2023-08-24,3709.00,218.18,C SMALL 21-23,El Monte
Seattle,2023-08-07,2023-08-24,3837.00,225.71,Motorhome Standard C25,Cruise
Seattle,2023-08-07,2023-08-24,3866.00,227.41,Motorhome Standard C25,Cruise
Seattle,2023-08-07,2023-08-24,3897.00,229.24,C MEDIUM 24-26,El Monte
Seattle,2023-08-07,2023-08-24,3912.00,230.12,Motorhome C19,Cruise
Seattle,2023-08-07,2023-08-24,3941.00,231.82,Motorhome C19,Cruise
Seattle,2023-08-07,2023-08-24,4056.00,238.59,C SMALL 21-23,El Monte
Seattle,2023-08-07,2023-08-24,4093.00,240.76,Motorhome Compact Plus C21,Cruise
Seattle,2023-08-07,2023-08-24,4122.00,242.47,Motorhome Compact Plus C21,Cruise
Seattle,2023-08-07,2023-08-24,4244.00,249.65,C MEDIUM 24-26,El Monte
Seattle,2023-08-07,2023-08-24,4283.00,251.94,Motorhome Standard C25,Cruise
Seattle,2023-08-07,2023-08-24,4317.00,253.94,C LAGE 27-29,El Monte
Seattle,2023-08-07,2023-08-24,4359.00,256.41,Motorhome C19,Cruise
Seattle,2023-08-07,2023-08-24,4369.00,257.00,Motorhome Large C30,Cruise
Seattle,2023-08-07,2023-08-24,4398.00,258.71,Motorhome Large C30,Cruise
Seattle,2023-08-07,2023-08-24,4463.00,262.53,Motorhome C25,Road Bear
Seattle,2023-08-07,2023-08-24,4529.00,266.41,Campervan B21,Road Bear
Seattle,2023-08-07,2023-08-24,4545.00,267.35,Motorhome Compact Plus C21,Cruise
Seattle,2023-08-07,2023-08-24,4664.00,274.35,C LAGE 27-29,El Monte
Seattle,2023-08-07,2023-08-24,4787.00,281.59,C SMALL 21-23,El Monte
Seattle,2023-08-07,2023-08-24,4827.00,283.94,Motorhome Large C30,Cruise
Seattle,2023-08-07,2023-08-24,4842.00,284.82,Motorhome Standard C25,Cruise
Seattle,2023-08-07,2023-08-24,4862.00,286.00,Motorhome Standard C25,Cruise
Seattle,2023-08-07,2023-08-24,4871.00,286.53,Motorhome Standard C25,Cruise
Seattle,2023-08-07,2023-08-24,4902.00,288.35,C FAMILY 30-32,El Monte
Seattle,2023-08-07,2023-08-24,4917.00,289.24,Motorhome C19,Cruise
Seattle,2023-08-07,2023-08-24,4938.00,290.47,Motorhome C19,Cruise
Seattle,2023-08-07,2023-08-24,4946.00,290.94,Motorhome C19,Cruise
Seattle,2023-08-07,2023-08-24,4975.00,292.65,C MEDIUM 24-26,El Monte
Seattle,2023-08-07,2023-08-24,5034.00,296.12,Motorhome C28,Road Bear
Seattle,2023-08-07,2023-08-24,5098.00,299.88,Motorhome Compact Plus C21,Cruise
Seattle,2023-08-07,2023-08-24,5124.00,301.41,Motorhome Compact Plus C21,Cruise
Seattle,2023-08-07,2023-08-24,5127.00,301.59,Motorhome Compact Plus C21,Cruise
Seattle,2023-08-07,2023-08-24,5174.00,304.35,Motorhome Standard C25,Cruise
Seattle,2023-08-07,2023-08-24,5212.00,306.59,C SMALL 21-23,El Monte
Seattle,2023-08-07,2023-08-24,5249.00,308.76,C FAMILY 30-32,El Monte
Seattle,2023-08-07,2023-08-24,5249.00,308.76,Motorhome C19,Cruise
Seattle,2023-08-07,2023-08-24,5374.00,316.12,Motorhome Large C30,Cruise
Seattle,2023-08-07,2023-08-24,5395.00,317.35,C LAGE 27-29,El Monte
Seattle,2023-08-07,2023-08-24,5400.00,317.65,C MEDIUM 24-26,El Monte
Seattle,2023-08-07,2023-08-24,5403.00,317.82,Motorhome Large C30,Cruise
Seattle,2023-08-07,2023-08-24,5406.00,318.00,Motorhome Large C30,Cruise
Seattle,2023-08-07,2023-08-24,5430.00,319.41,Motorhome Compact Plus C21,Cruise
Seattle,2023-08-07,2023-08-24,5531.00,325.35,Motorhome Standard C25,Cruise
Seattle,2023-08-07,2023-08-24,5609.00,329.94,Motorhome C19,Cruise
Seattle,2023-08-07,2023-08-24,5631.00,331.24,Motorhome C31,Road Bear
Seattle,2023-08-07,2023-08-24,5644.00,332.00,Run of Fleet 20-29ft 2+2,Britz
Seattle,2023-08-07,2023-08-24,5706.00,335.65,Motorhome Large C30,Cruise
Seattle,2023-08-07,2023-08-24,5799.00,341.12,Motorhome Compact Plus C21,Cruise
Seattle,2023-08-07,2023-08-24,5820.00,342.35,C LAGE 27-29,El Monte
Seattle,2023-08-07,2023-08-24,5980.00,351.76,C FAMILY 30-32,El Monte
Seattle,2023-08-07,2023-08-24,6088.00,358.12,Motorhome Large C30,Cruise
Seattle,2023-08-07,2023-08-24,6299.00,370.53,Motorhome C25,Road Bear
Seattle,2023-08-07,2023-08-24,6327.00,372.18,Motorhome A32,Road Bear
Seattle,2023-08-07,2023-08-24,6340.00,372.94,A FAMILY 31-34,El Monte
Seattle,2023-08-07,2023-08-24,6365.00,374.41,Campervan B21,Road Bear
Seattle,2023-08-07,2023-08-24,6405.00,376.76,C FAMILY 30-32,El Monte
Seattle,2023-08-07,2023-08-24,6687.00,393.35,A FAMILY 31-34,El Monte
Seattle,2023-08-07,2023-08-24,6870.00,404.12,Motorhome C28,Road Bear
Seattle,2023-08-07,2023-08-24,7418.00,436.35,A FAMILY 31-34,El Monte
Seattle,2023-08-07,2023-08-24,7467.00,439.24,Motorhome C31,Road Bear
Seattle,2023-08-07,2023-08-24,7843.00,461.35,A FAMILY 31-34,El Monte
Seattle,2023-08-07,2023-08-24,8163.00,480.18,Motorhome A32,Road Bear
